loss: 1.1165:   0%|          | 0/30000 [00:03<?, ?it/s]
loss: 0.0236:   9%|▉         | 2800/30000 [2:46:02<3:27:04,  2.19it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0381:   9%|▉         | 2800/30000 [2:46:04<3:27:04,  2.19it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0381:   9%|▉         | 2800/30000 [2:46:04<3:27:04,  2.19it/s, GPU:  92% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0429:  10%|▉         | 2900/30000 [2:47:07<5:16:13,  1.43it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0440:  10%|▉         | 2900/30000 [2:47:07<5:16:13,  1.43it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0440:  10%|▉         | 2900/30000 [2:47:07<5:16:13,  1.43it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0464:  10%|█         | 3000/30000 [2:48:09<4:45:09,  1.58it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0413:  10%|█         | 3000/30000 [2:48:10<4:45:09,  1.58it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0413:  10%|█         | 3000/30000 [2:48:10<4:45:09,  1.58it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0416:  10%|█         | 3100/30000 [2:49:12<4:22:58,  1.70it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0225:  10%|█         | 3100/30000 [2:49:12<4:22:58,  1.70it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0225:  10%|█         | 3100/30000 [2:49:12<4:22:58,  1.70it/s, GPU:  96% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0380:  11%|█         | 3200/30000 [2:50:16<5:48:29,  1.28it/s, GPU:  60% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0422:  11%|█         | 3200/30000 [2:50:16<5:48:29,  1.28it/s, GPU:  60% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0422:  11%|█         | 3200/30000 [2:50:16<5:48:29,  1.28it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0450:  11%|█         | 3300/30000 [2:51:19<5:00:11,  1.48it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0399:  11%|█         | 3300/30000 [2:51:20<5:00:11,  1.48it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0399:  11%|█         | 3300/30000 [2:51:20<5:00:11,  1.48it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0400:  11%|█▏        | 3400/30000 [2:52:22<4:26:59,  1.66it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0366:  11%|█▏        | 3400/30000 [2:52:22<4:26:59,  1.66it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0366:  11%|█▏        | 3400/30000 [2:52:22<4:26:59,  1.66it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0575:  12%|█▏        | 3500/30000 [2:53:25<3:21:56,  2.19it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
